label,N,beta1,se,t_stat,p_value,r2,r2_adj,sig,dv
Binary propensity,35080,-0.12633449040209063,0.09820925024795199,-1.2863807643692418,0.15754757294241095,0.12238939727295195,0.1211116154772719,,within_field_share
Drop Arts & Hum.,33973,-0.07950103130237093,0.0423923529173601,-1.8753625555380402,0.04641710541304711,0.12004840028926678,0.11875137829806526,**,within_field_share
Drop Psychology,32967,-0.06474576868981638,0.04382645189208531,-1.4773217062891857,0.10924731567365775,0.12157289270012894,0.12023854601872808,,within_field_share
Drop A&H + Psych,31860,-0.06639677886722667,0.04421662012802735,-1.5016249246319056,0.10406278942325686,0.11833853121176308,0.11698042332208614,,within_field_share
Cutoff: Aug 2024,35080,-0.0787243837346626,0.04136410766826397,-1.903205174061153,0.04350770578426122,0.12244341252437263,0.1211657093737144,**,within_field_share
Cutoff: Feb 2025,35080,-0.10608077264003882,0.04422067164784872,-2.3988955546585307,0.01230472227994861,0.12249833078032779,0.12122070758944614,**,within_field_share
Min 5 refs,34103,-0.09443507768359397,0.04228390246094771,-2.233357665386058,0.019207986027622193,0.12532909133010384,0.12401905002905056,**,within_field_share
Min 10 refs,31413,-0.11455093826885039,0.043308810922880456,-2.64497998970302,0.006069641814590687,0.12700634404561262,0.1255866611128722,***,within_field_share
Baseline,35080,-0.08519107439424704,0.032246963770989366,-2.6418324217825515,0.006126838945765822,0.14049244402914007,0.13924101987262205,***,citation_hhi
Binary propensity,35080,-0.05212289749586118,0.07302315820571247,-0.7137858561119272,0.4035031943611216,0.14032657079047872,0.13907490512616205,,citation_hhi
Drop Arts & Hum.,33973,-0.08345696222115237,0.03250102728611139,-2.567825363994445,0.007619102278453083,0.142392301575738,0.14112821381790497,***,citation_hhi
Drop Psychology,32967,-0.07685889014988823,0.03379654890584629,-2.2741638610501087,0.017249228688550833,0.13583277215011358,0.13452008648379643,**,citation_hhi
Drop A&H + Psych,31860,-0.07455793564627124,0.03416754438348257,-2.182127425063487,0.021940108227058275,0.1372655341650707,0.13593658135696285,**,citation_hhi
Cutoff: Aug 2024,35080,-0.06919271400882125,0.03182106056255173,-2.1744314232646897,0.022378454694217842,0.1404365973562518,0.1391850918882025,**,citation_hhi
