paper_id,publication_date,year_month,field,subfield,num_authors,institutions_distinct_count,countries_distinct_count,type,language,n_references,n_references_resolved,n_distinct_fields_cited,within_field_share,citation_hhi,other_field_share,surprise_kl,surprise_entropy
https://openalex.org/W3136987208,2021-03-19,2021-03,Arts and Humanities,History,4,4,1,article,en,39,35,4,0.657143,0.472653,0.085714,0.428557,1.012363
https://openalex.org/W3152691075,2021-03-01,2021-03,Arts and Humanities,History,1,1,1,article,en,23,23,3,0.826087,0.701323,0.0,0.438296,0.559837
https://openalex.org/W3152821498,2021-03-01,2021-03,Arts and Humanities,Music,1,1,1,article,en,27,26,3,0.269231,0.346154,0.0,0.506495,1.079878
https://openalex.org/W4245048059,2021-03-22,2021-03,Arts and Humanities,Philosophy,1,1,1,article,en,10,10,3,0.6,0.46,0.0,0.457571,0.897948
https://openalex.org/W3137545021,2021-03-24,2021-03,Arts and Humanities,Music,2,2,1,article,en,33,33,5,0.454545,0.415978,0.030303,0.30209,1.034646
https://openalex.org/W3134128544,2021-03-11,2021-03,Arts and Humanities,Conservation,5,5,1,article,en,31,31,5,0.354839,0.348595,0.129032,1.25467,1.212414
https://openalex.org/W3142207171,2021-03-25,2021-03,Arts and Humanities,Museology,2,2,1,article,en,55,55,6,0.381818,0.26281,0.018182,0.705011,1.475789
https://openalex.org/W3137282374,2021-03-01,2021-03,Arts and Humanities,Visual Arts and Performing Arts,1,1,1,article,en,3,3,1,1.0,1.0,0.0,0.749392,3e-06
https://openalex.org/W3136282134,2021-03-14,2021-03,Arts and Humanities,Language and Linguistics,1,1,1,article,en,45,45,5,0.533333,0.445926,0.022222,0.207512,0.955554
https://openalex.org/W3138162671,2021-03-19,2021-03,Arts and Humanities,Language and Linguistics,1,1,1,article,en,20,20,4,0.75,0.59,0.0,0.412856,0.799905
https://openalex.org/W3133694563,2021-03-06,2021-03,Arts and Humanities,Religious studies,1,1,2,article,en,22,22,2,0.727273,0.603306,0.0,0.346651,0.585955
https://openalex.org/W3134607347,2021-03-09,2021-03,Arts and Humanities,History and Philosophy of Science,1,1,1,article,en,62,57,9,0.385965,0.245306,0.070175,0.935535,1.660332
https://openalex.org/W3138403689,2021-03-11,2021-03,Arts and Humanities,Language and Linguistics,1,1,1,article,en,7,4,2,0.75,0.625,0.0,0.355001,0.562338
https://openalex.org/W3172494027,2021-03-16,2021-03,Arts and Humanities,Literature and Literary Theory,1,1,1,article,en,24,16,3,0.375,0.34375,0.0,0.368234,1.082198
https://openalex.org/W3134570119,2021-03-05,2021-03,Arts and Humanities,Language and Linguistics,1,1,1,article,en,50,47,4,0.680851,0.498416,0.0,0.289476,0.972566
https://openalex.org/W3215154816,2021-03-24,2021-03,Arts and Humanities,Language and Linguistics,1,1,0,article,en,13,13,4,0.384615,0.301775,0.0,0.389446,1.265859
https://openalex.org/W3134234052,2021-03-04,2021-03,Arts and Humanities,History and Philosophy of Science,1,1,1,article,en,3,3,2,0.666667,0.555556,0.333333,0.829959,0.636517
https://openalex.org/W3137558731,2021-03-14,2021-03,Arts and Humanities,Religious studies,1,1,1,article,en,25,21,3,0.380952,0.473923,0.0,0.498838,0.83241
https://openalex.org/W3139270778,2021-03-01,2021-03,Arts and Humanities,History,7,7,1,article,en,19,16,4,0.5625,0.421875,0.3125,0.663468,1.033703
https://openalex.org/W3134828248,2021-03-06,2021-03,Arts and Humanities,Language and Linguistics,1,1,0,article,en,24,22,4,0.818182,0.681818,0.090909,0.530299,0.663182
https://openalex.org/W3137783725,2021-03-01,2021-03,Arts and Humanities,Language and Linguistics,1,1,1,article,en,39,34,5,0.705882,0.527682,0.0,0.430827,0.964802
https://openalex.org/W3151715637,2021-04-01,2021-04,Arts and Humanities,Archeology,9,9,3,article,en,35,34,9,0.029412,0.247405,0.411765,1.625867,1.715765
https://openalex.org/W3174428258,2021-04-01,2021-04,Arts and Humanities,Literature and Literary Theory,1,1,0,article,en,4,3,3,0.333333,0.333333,0.333333,0.96669,1.098615
https://openalex.org/W3175678904,2021-04-01,2021-04,Arts and Humanities,Museology,1,1,1,article,en,13,11,3,0.454545,0.421488,0.0,0.354116,0.934772
https://openalex.org/W3155823482,2021-04-19,2021-04,Arts and Humanities,Literature and Literary Theory,2,2,1,article,en,95,95,10,0.2,0.174737,0.0,0.856588,1.893635
https://openalex.org/W3166452845,2021-04-23,2021-04,Arts and Humanities,Language and Linguistics,2,2,1,article,en,19,16,3,0.875,0.773438,0.0,0.488937,0.463416
https://openalex.org/W3156060022,2021-04-13,2021-04,Arts and Humanities,Music,1,1,1,article,en,18,17,4,0.117647,0.363322,0.058824,1.359223,1.140723
https://openalex.org/W3153977119,2021-04-20,2021-04,Arts and Humanities,Archeology,8,8,2,article,en,98,88,9,0.534091,0.341942,0.181818,0.366862,1.439346
https://openalex.org/W3157698983,2021-04-27,2021-04,Arts and Humanities,Language and Linguistics,1,1,1,article,en,70,69,6,0.565217,0.424911,0.014493,0.492077,1.089902
https://openalex.org/W3152207792,2021-04-07,2021-04,Arts and Humanities,Language and Linguistics,1,1,1,article,en,43,33,4,0.575758,0.421488,0.0,0.537944,1.033948
